# wavelength [micron], EQE [1]
1.089178356713426998e+00,6.775075013650364020e-02
1.093587174348697566e+00,6.800512811078374131e-02
1.097995991983968134e+00,6.825350771705386566e-02
1.102404809619238479e+00,6.851905939734624640e-02
1.106813627254509047e+00,6.879668551616650862e-02
1.111222444889779615e+00,6.906849008388458999e-02
1.115631262525050182e+00,6.933500056132335665e-02
1.120040080160320750e+00,6.959756640443399978e-02
1.124448897795591318e+00,6.985636057852764869e-02
1.128857715430861886e+00,7.011039178900727031e-02
1.133266533066132453e+00,7.036281449657703913e-02
1.137675350701402799e+00,7.060787257732981104e-02
1.142084168336673367e+00,7.084918724277707025e-02
1.146492985971943934e+00,7.108289272791680491e-02
1.150901803607214502e+00,7.131637836525664409e-02
1.155310621242485070e+00,7.154191050803687668e-02
1.159719438877755637e+00,7.176188974019989675e-02
1.164128256513026205e+00,7.197909924948060756e-02
1.168537074148296773e+00,7.218740035278380096e-02
1.172945891783567340e+00,7.238996154053339849e-02
1.177354709418837686e+00,7.258578331012061069e-02
1.181763527054108254e+00,7.277574235010314530e-02
1.186172344689378821e+00,7.295568525514711800e-02
1.190581162324649389e+00,7.312686328377034084e-02
1.194989979959919957e+00,7.329267513235807052e-02
1.199398797595190524e+00,7.344271234598039044e-02
1.203807615230461092e+00,7.361997050106766638e-02
1.208216432865731660e+00,7.379062945936465390e-02
1.212625250501002006e+00,7.394943448536836494e-02
1.217034068136272573e+00,7.409233682611783556e-02
1.221442885771543141e+00,7.422275410116455086e-02
1.225851703406813709e+00,7.433920856855653903e-02
1.230260521042084276e+00,7.443577174888069137e-02
1.234669338677354844e+00,7.451674295715650376e-02
1.239078156312625412e+00,7.458108601759344536e-02
1.243486973947895979e+00,7.462616663822577157e-02
1.247895791583166547e+00,7.465045951487768450e-02
1.252304609218436893e+00,7.465504782716260446e-02
1.256713426853707460e+00,7.463708696830415046e-02
1.261122244488978028e+00,7.459873877289202593e-02
1.265531062124248596e+00,7.453655415685805918e-02
1.269939879759519163e+00,7.445102821083449118e-02
1.274348697394789731e+00,7.434234877392409402e-02
1.278757515030060299e+00,7.420992204240473011e-02
1.283166332665330867e+00,7.405341578583309048e-02
1.287575150300601434e+00,7.387199227644830613e-02
1.291983967935871780e+00,7.366559182120005489e-02
1.296392785571142348e+00,7.343467792085453527e-02
1.300801603206412915e+00,7.318832847914397144e-02
1.305210420841683483e+00,7.295798568034014830e-02
1.309619238476954051e+00,7.270526987576778066e-02
1.314028056112224618e+00,7.242727770929888176e-02
1.318436873747495186e+00,7.212693652813025047e-02
1.322845691382765754e+00,7.180173510066138742e-02
1.327254509018036321e+00,7.145960531169170959e-02
1.331663326653306889e+00,7.109358506228163899e-02
1.336072144288577235e+00,7.070830340838026029e-02
1.340480961923847802e+00,7.030286352373195380e-02
1.344889779559118370e+00,6.988397655426079047e-02
1.349298597194388938e+00,6.944442226513417027e-02
1.353707414829659506e+00,6.899175567352815175e-02
1.358116232464930073e+00,6.852394317773442822e-02
