"wl","n","k"
1.395,1.930882354,0.013408909
1.4,1.930712352,0.013346888
1.405,1.93054235,0.013284866
1.41,1.930372347,0.013222845
1.415,1.930202345,0.013165207
1.42,1.930032343,0.013114009
1.425,1.929919281,0.013062811
1.43,1.929840076,0.013011613
1.435,1.929760871,0.012960414
1.44,1.929681667,0.012909216
1.445,1.929602462,0.012858018
1.45,1.929523258,0.012806819
1.455,1.929444053,0.012755621
1.46,1.929364849,0.012704423
1.465,1.929285644,0.012653224
1.47,1.929206439,0.012602026
1.475,1.929127235,0.012550828
1.48,1.92904803,0.012499629
1.485,1.928968826,0.012448431
1.49,1.928889621,0.012397233
1.495,1.928810417,0.012346034
1.5,1.928731212,0.012294836
1.505,1.928652007,0.012243638
1.51,1.928572803,0.012192439
1.515,1.928493598,0.012141241
1.52,1.928414394,0.012090043
1.525,1.928335189,0.012038844
1.53,1.928255985,0.011987646
1.535,1.92817678,0.011936448
1.54,1.928097575,0.01188525
1.545,1.928018371,0.011834051
1.55,1.927948279,0.011781357
1.555,1.927878467,0.01172784
1.56,1.927808655,0.011674323
1.565,1.927738843,0.011620806
1.57,1.927669032,0.011567289
1.575,1.92759922,0.011513772
1.58,1.927529408,0.011460255
1.585,1.927459596,0.011406738
1.59,1.927389785,0.011353221
1.595,1.927319973,0.011299704
1.6,1.927250161,0.011246187
1.605,1.927180349,0.01119267
1.61,1.927110537,0.011139153
1.615,1.927040726,0.011085636
1.62,1.926970914,0.011032119
1.625,1.926901102,0.010978601
1.63,1.92683129,0.010925084
1.635,1.926761479,0.010871567
1.64,1.926691667,0.01081805
1.645,1.926621855,0.010764533
1.65,1.926552043,0.010711016
1.655,1.926482232,0.010657499
1.66,1.92641242,0.010603982
1.665,1.926342608,0.010550465
1.67,1.926272796,0.010496948
1.675,1.926202985,0.010443431
1.68,1.926133173,0.010389914
1.685,1.926063361,0.010336397
1.69,1.925993549,0.01028288
1.695,1.925927994,0.010241898
1.7,1.925864922,0.010240536
1.705,1.925801849,0.010239174
1.71,1.925738776,0.010237812
1.715,1.925675704,0.01023645
1.72,1.925612631,0.010235088
1.725,1.925549559,0.010233726
1.73,1.925486486,0.010232364
1.735,1.925423413,0.010231002
1.74,1.925360341,0.01022964
1.745,1.925297268,0.010228278
1.75,1.925234195,0.010226916
1.755,1.925171123,0.010225554
1.76,1.92510805,0.010224192
1.765,1.925044978,0.01022283
1.77,1.924981905,0.010221468
1.775,1.924918832,0.010220106
